upper_outer,upper_inner,middle,lower_inner,lower_outer
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
115.28678132658357,110.08625971844405,104.88573811030453,99.685216502165,94.4846948940255
115.44235076607696,110.344190563641,105.24603036120507,100.14787015876914,95.04970995633319
116.031797084579,110.81923714634779,105.60667720811657,100.39411726988534,95.18155733165413
117.04307249142056,111.51159957229815,105.98012665317574,100.44865373405334,94.91718081493093
118.42198305380711,112.39983306718162,106.37768308055611,100.3555330939306,94.33338310730511
120.08275668667552,113.44562707808629,106.80849746949707,100.17136786090785,93.53423825231862
121.91875364904577,114.5987518068141,107.2787499645824,99.95874812235071,92.63874628011904
123.81164604805659,115.8013719349436,107.79109782183062,99.78082370871763,91.77054959560465
125.64023050374611,116.99233427383741,108.34443804392872,99.69654181402002,91.04864558411133
127.28963390911599,118.11181990840664,108.9340059076973,99.75619190698795,90.5783779062786
128.66054775091027,119.10617416676587,109.55180058262147,99.99742699847707,90.44305341433265
129.67757252249928,119.93243617185584,110.18729982121242,100.442163470569,90.69702711992556
130.29572502322122,120.56206245162939,110.82839988003757,101.09473730844574,91.36107473685391
130.50437915457422,120.98343793282388,111.4624967110735,101.94155548932312,92.42061426757276
130.32821912788876,121.20291548583329,112.07761184377782,102.95230820172235,93.82700455966688
129.8251239347045,121.24429316044616,112.66346238618785,104.08263161192953,95.5018008376712
129.08124974424334,121.14681465463894,113.21237956503455,105.27794447543016,97.34350938582577
128.2039061910054,120.96194997271232,113.71999375441924,106.47803753612615,99.23608131783307
127.3130646923414,120.74934474691126,114.18562480148111,107.62190485605096,101.05818491062082
126.53231715555998,120.57232996899336,114.61234278242675,108.65235559586014,102.69236840929352
125.97953405782138,120.49311390979372,115.00669376176606,109.5202736137384,104.03385346571073
125.75638565002856,120.56725035094694,115.37811505186531,110.18897975278368,104.99984445370205
125.9357870598765,120.83693963290837,115.73809220594023,110.6392447789721,105.54039735200396
126.54962545900983,121.32437925340197,116.09913304779411,110.87388684218625,105.64864063657839
127.5832865042029,122.02846844468587,116.47365038516884,110.9188323256518,105.36401426613477
128.98050368815137,122.92667844937462,116.87285321059787,110.81902797182111,104.76520273304435
130.6540678076189,123.9799066215526,117.3057454354863,110.63158424942,103.9574230633537
132.49645112780993,125.13738636266548,117.77832159752104,110.4192568323766,103.06019206723217
134.3889288726604,126.34098012956642,118.29303138647245,110.24508264337848,102.19713390028451
136.21040535734892,127.52948308902593,118.84856082070294,110.16763855237996,101.48671628405697
137.8466392967716,128.64329445900245,119.43994962123331,110.23660478346417,101.03325994569502
139.19945460276048,129.62924445072574,120.05903429869099,110.48882414665624,100.9186139946215
140.1950055547042,130.44509146410348,120.69517737350274,110.945263282902,101.19534919230128
140.79015691470516,131.06318725248457,121.33621759026396,111.60924792804336,101.88227826582275
140.97626533174446,131.47291078910447,121.96955624646452,112.46620170382455,102.9628471611846
140.77995945870256,131.6816210278823,122.58328259706207,113.48494416624182,104.38660573542157
140.2608570959882,131.71404745092576,123.16723780586335,114.62042816080093,106.07361851573852
139.5065053256598,131.6102138648828,123.71392240410584,115.81763094332887,107.9213394825519
138.62515648619677,131.4221613409319,124.21916619566703,117.01617105040216,109.8131759051373
137.7372262869952,131.2098635276296,124.68250076826405,118.15513800889848,111.62777524953292
136.96623775826222,131.0367195467951,125.10720133532797,119.17768312386085,113.24816491239372
136.42944797138296,130.96472107116267,125.49999417094236,120.03526727072206,114.57054037050175
136.22726554012488,131.04886065596838,125.87045577181189,120.6920508876554,115.51364600349889
136.43060069072433,131.33037905402867,126.230157417333,121.12993578063734,116.02971414394166
137.06878377954558,131.8302076606066,126.59163154166757,121.35305542272856,116.11447930378954
138.12465065906432,132.5459514538941,126.9672522487239,121.38855304355369,115.80985383838346
139.53989769930303,133.45401383480544,127.36812997030788,121.2822461058103,115.19636224131273
141.22591219022797,134.5145155972837,127.80311900433938,121.09172241139508,114.38032581845077
143.07430661728296,135.67616660203615,128.27802658678937,120.87988657154257,113.48174655629578
144.9659868609782,136.88054050478212,128.79509414858606,120.70964779238999,112.62420143619393
146.77999404813113,138.0663955716984,129.35279709526566,120.63919861883292,111.92560014240019
148.40274791188529,139.1743644531702,129.9459809944551,120.71759753574003,111.48921407702495
149.7372310064368,140.15177650620086,130.56632200596493,120.98086750572901,111.39541300549307
150.7111716289501,140.95712102729638,131.2030704256427,121.44901982398899,111.69496922233529
151.2832944894774,141.56365270695355,131.8440109244297,122.12436914190586,112.40472735938202
151.44694145156345,141.96174757944448,132.47655370732554,122.99135983520658,113.50616596308762
151.2306783629382,142.159768742609,133.08885912227984,124.01794950195067,114.94703988162149
150.69584577480683,142.18337051792764,133.67089526104846,125.15842000416927,116.64594474729007
149.93135875840417,142.0733464190418,134.21533407967942,126.35732174031705,118.49930940095467
149.04638529170163,141.882295641278,134.71820599085441,127.55411634043081,120.39002669000722
148.16175684928777,141.6705056522946,135.17925445530142,128.68800325830824,122.19675206131508
