upper,middle,lower
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
114.709239255337,105.81052548732032,96.91181171930364
110.23623540887868,102.5361845205411,94.83613363220351
105.70627127098922,99.66058289617811,93.614894521367
101.83378015041194,97.485253053946,93.13672595748005
99.78911685364302,96.249174240847,92.70923162805097
100.5394740379344,96.10742520677661,91.67537637561882
103.26232122322703,97.11733148165823,90.97234174008942
107.01509487460477,99.23334465658591,91.45159443856706
111.2589830025895,102.31111108753633,93.36323917248316
115.5793437135608,106.12036657646888,96.66138943937696
119.61173244164287,110.36550518635131,101.11927793105976
123.04960956482736,114.71198483912633,106.3743601134253
125.68084377112113,118.81621096319454,111.95157815526794
127.46864123409571,122.35622877318336,117.24381631227101
128.7871271285593,125.06048253206338,121.33383793556747
130.56031347434052,126.73207281637531,122.90383215841008
132.57400685349435,127.26634495531178,121.95868305712919
133.71104954193856,126.66023752077254,119.60942549960653
133.48356377886597,125.01255579561924,116.54154781237249
131.82120513974277,122.51514579202414,113.2090864443055
128.8730523757377,119.43575721856833,109.99846206139895
124.94161711106352,116.09412619620025,107.24663528133698
120.4502852002249,112.83341418280601,105.21654316538712
115.93567123746477,109.98955438219666,104.04343752692854
112.12888677291534,107.86124383150641,103.59360089009749
110.22936715212776,106.68326168445915,103.13715621679054
111.12346718162857,106.60549708879844,102.08752699596832
113.92348426002772,107.67956003512641,101.43563581022511
117.71609538730209,109.85417119015123,101.99224699300038
121.97468658754964,112.97974252680737,103.9847984660651
126.28811169527889,116.82173957720215,107.35536745912542
130.29461858272253,121.08163169813083,111.86864481353913
133.6917628561867,125.42355892433378,117.15535499248084
136.27440702674176,129.50433333891905,122.73425965109635
138.02020546528408,133.00409502787733,127.98798459047056
139.3382394257592,135.6548842135778,131.97152900139636
141.1506203848056,137.26457730365246,133.37853422249933
143.14034972305322,137.73404871930973,132.32774771556623
144.20832911959224,137.06602548806697,129.9237218565417
143.89975087051178,135.3648436465045,126.82993642249725
142.15975465689607,132.8271282128569,123.49450176881774
139.1472461436855,129.72422925973203,120.30121237577858
135.1722087414485,126.3779830202745,117.58375729910051
130.66422041007482,123.13196321596729,115.59970602185976
126.16716749814368,120.32079063934128,114.47441378053888
122.42988566159619,118.24024247516277,114.05059928872936
120.67922362327108,117.1208314054171,113.56243918756313
121.71327680535876,117.10721459795151,112.50115239054426
124.58767163859434,118.24527191249732,111.90287218640029
128.41853731093414,120.47800758944088,112.53747786794762
132.69055147555986,123.65064151128308,114.61073154700631
136.99590073930312,127.52443524956087,118.05296975981861
140.97556618818285,131.79801785763928,122.62046952709572
144.3313144481823,136.13430643981556,127.93729843144882
146.86524203374992,140.19061676247512,133.5159914912003
148.57018413125232,143.64927421608036,138.7283643009084
149.89137551397923,146.2459907419256,142.60060596987196
151.74163690380394,147.7934728973059,143.84530889080784
153.7035763836742,148.19815222094596,142.6927280582177
154.7011920877801,147.4685434249762,140.23589476217228
154.31138862099,145.71448380105656,137.11757898112313
152.4942678747596,143.13732178223626,133.7803756897129
149.41838554408412,140.01193108709475,130.6054766301054
145.40109870938852,136.6621570691049,127.92321542882127
140.8781464435939,133.43188857569947,125.98563070780507
136.4009147221618,130.65433938171788,124.90776404127396
132.73706570974431,128.62228319529356,124.50750068084282
