upper,middle,lower
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
113.8045003699604,104.54687745272422,95.28925453548804
109.58834446131766,100.80265640568064,92.01696835004361
105.73137258544978,97.95811486967872,90.18485715390767
102.43807993053402,96.31009197555684,90.18210402057967
101.15293363552601,96.3952831412468,91.63763264696757
103.20029690993537,97.08205154990796,90.96380618988056
106.32510161131832,98.74923025127755,91.17335889123679
109.54022022493461,101.02448272711607,92.5087452292975
112.56654934841096,103.82953633151823,95.0925233146255
115.69836508697227,107.32489981199782,98.95143453702337
120.40202707582095,111.99972940585766,103.59743173589438
124.66452783954973,116.58165386569567,108.49877989184161
127.79864914989635,120.48080911490588,113.16296907991541
129.4082417178064,123.46432309831053,117.52040447881465
129.7321146392649,125.43747666771824,121.1428386961716
130.57271332152703,125.82049168708397,121.06827005264091
132.00479581067057,125.81905245428723,119.63330909790388
132.44635454156398,125.07460578735676,117.70285703314954
131.71237924833557,123.65669857887116,115.60101790940676
129.59995897658118,121.32895666139532,113.05795434620948
126.7942948778254,118.51062148599158,110.22694809415778
123.08057899058991,114.92727840165531,106.77397781272073
119.37075752643509,111.86638264101096,104.36200775558683
115.63939236114135,108.98925399752484,102.33911563390834
112.57506336658413,106.84996120992213,101.12485905326011
111.30403713029216,106.35987020388689,101.4157032774816
113.29382811110736,107.59131674208338,101.8888053730594
115.76972371414958,108.77734215728796,101.78496060042634
119.15370942824079,111.13987970628673,103.12604998433268
123.33523703654073,114.37459844066903,105.41395984479733
127.14038418498515,117.86746021378345,108.59453624258174
131.5239583211111,122.26317820342675,113.00239808574239
136.0418427539746,126.96508114762591,117.8883195412772
139.54120274047224,131.26176870344332,122.98233466641439
141.31237627643532,134.5201103503305,127.7278444242257
141.44709173259244,136.41767450915506,131.38825728571766
142.0922473683251,136.5579825097101,131.0237176510951
143.2705650373237,136.28407464614168,129.29758425495962
143.4139698734944,135.24661357840995,127.07925728332546
142.47851793380696,133.71373751111793,124.94895708842891
140.01626463401234,131.56179454412907,123.1073244542458
136.65826259411963,128.25247826806745,119.84669394201525
132.88933008603223,124.58160079508266,116.27387150413311
129.0447671163465,121.3277727085923,113.6107783008381
125.47030957663841,118.90216657381366,112.3340235709889
122.60248519855102,117.60953078085618,112.61657636316134
121.93415307848436,117.78458242044341,113.63501176240247
123.94838830624106,118.35727489887847,112.76616149151589
126.75625008370868,119.79442519617082,112.83260030863296
129.80523536741393,121.97773992340092,114.15024447938791
133.06294250948164,124.86211825912076,116.66129400875988
136.79793765689536,128.50670541931237,120.21547318172941
141.17735680745923,132.89133533022786,124.60531385299647
145.02476283911022,137.18252717157645,129.34029150404268
148.1117317596141,141.13112843775878,134.15052511590346
150.805952192229,144.71254863479115,138.6191450773533
152.194876753372,147.1659401531304,142.13700355288884
152.02936260629815,146.9595213326395,141.88968005898082
153.56768879576896,147.08700157070228,140.60631434563564
153.87654383128736,146.31099631700698,138.7454488027266
153.02808320320702,144.35231782569429,135.67655244818158
151.1720742912439,141.91681251734514,132.66155074344638
148.23551607612958,139.03157686851836,129.82763766090716
144.5576763198128,135.31599694385065,126.07431756788849
140.28885608701628,131.64610859509116,123.00336110316601
136.5053385771158,128.98395371754629,121.46256885797676
133.41315696537814,127.58448579848505,121.75581463159196
