value,direction
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
92.23266539024749,1
92.4167143858698,1
93.00163753883135,1
94.74050055464248,1
96.7603536585142,1
99.65705906766864,1
102.4871780247512,1
105.18161252174927,1
107.787947719904,1
110.9699072009077,1
113.83019792880239,1
115.8577337678614,1
116.90716471889924,1
116.90716471889924,1
116.90716471889924,1
116.90716471889924,1
116.90716471889924,1
123.14557821060232,-1
120.6539562447185,-1
118.05196888045276,-1
115.82436103133132,-1
114.14769660863513,-1
113.38678673360214,-1
113.11044903274333,-1
112.98768247406758,-1
112.98768247406758,-1
108.7809489978316,1
112.04331871276543,1
116.10957825767942,1
119.53747842983569,1
122.36476817446261,1
124.5973164568571,1
126.49949966040191,1
127.23018458983033,1
127.23018458983033,1
127.23018458983033,1
127.23018458983033,1
127.24523424202567,1
132.83831227878318,-1
130.94512308334382,-1
128.97047467694617,-1
126.6629531809711,-1
124.99948742023929,-1
124.09178142739512,-1
123.57743447072203,-1
123.35309630333431,-1
123.34939344688001,-1
120.42120390360911,1
123.16862041006345,1
126.07897965334799,1
129.47041591478114,1
132.4885412667311,1
134.9847932230295,1
137.05491375630925,1
138.51377453938449,1
138.96613376163583,1
138.96721735266985,1
138.96721735266985,1
139.04017882852963,1
143.14769586495942,-1
140.21238110488136,-1
137.84589224542788,-1
136.12086339366473,-1
134.82436053990637,-1
134.4100620327772,-1
134.0139169592718,-1
