lag,correlation
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
0,0.9976382990004041
0,0.9974659375588608
0,0.9972494331136188
0,0.9971519869703265
0,0.9972489314355814
0,0.9974449522748713
0,0.9973734786552113
0,0.9965104129143885
0,0.9947250427833076
0,0.9927788018662151
0,0.991710853977949
0,0.9916140895990827
0,0.9917602990666555
0,0.9918630747694356
0,0.9924866557864209
0,0.9940369880696082
0,0.9959483040943093
0,0.9973339714924837
0,0.9978480271511195
0,0.9977374653418406
0,0.9974484995607668
0,0.997301913846679
0,0.9973904421189078
0,0.9976237600234386
0,0.9978073446890965
0,0.997710097689769
0,0.9971509967603918
0,0.9961377672205726
0,0.9949970264529114
0,0.9942702429070414
0,0.9941340690240082
0,0.9938562213722398
0,0.992736469521403
0,0.9916628009636298
0,0.9921581176992423
0,0.9942211350281356
0,0.9961891235601922
0,0.9968283179993804
0,0.9965564237498713
0,0.9963246774183444
0,0.9965213968586414
