upper,middle,lower
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
115.42223490063166,105.81052548732032,96.19881607400897
110.8531900491846,102.5361845205411,94.21917899189759
106.19067267959971,99.66058289617811,93.13049311275651
102.18219914264536,97.485253053946,92.78830696524663
100.0727492676429,96.249174240847,92.42559921405109
100.89458507967915,96.10742520677661,91.32026533387408
103.75467899990551,97.11733148165823,90.47998396341094
107.63859554704575,99.23334465658591,90.82809376612607
111.97591736820729,102.31111108753633,92.64630480686537
116.33722959274573,106.12036657646888,95.90350356019204
120.35257206636732,110.36550518635131,100.37843830633531
123.7176488204434,114.71198483912633,105.70632085780926
126.23086183285382,118.81621096319454,111.40156009353525
127.87826535693038,122.35622877318336,116.83419218943634
129.0857187495655,125.06048253206338,121.03524631456125
130.8670453222711,126.73207281637531,122.59710031047949
132.99927503480188,127.26634495531178,121.53341487582168
134.27598492450488,126.66023752077254,119.04449011704021
134.1622901612134,125.01255579561924,115.86282143002505
132.5668387181173,122.51514579202414,112.46345286593096
129.62920101989414,119.43575721856833,109.24231341724251
125.65050860465828,116.09412619620025,106.53774378774222
121.06057518232433,112.83341418280601,104.60625318328769
116.41209463243416,109.98955438219666,103.56701413195916
112.47082504761673,107.86124383150641,103.2516626153961
110.51349335532025,106.68326168445915,102.85303001359806
111.48546253126406,106.60549708879844,101.72553164633283
114.42376900880853,107.67956003512641,100.9353510614443
118.34601987553009,109.85417119015123,101.36232250477238
122.69539253586646,112.97974252680737,103.26409251774828
127.04659008585104,116.82173957720215,106.59688906855327
131.03279487427605,121.08163169813083,111.13046852198562
134.35423987831632,125.42355892433378,116.49287797035123
136.81684868556786,129.50433333891905,122.19181799227026
138.42211353777907,133.00409502787733,127.58607651797558
139.63336255195725,135.6548842135778,131.67640587519833
141.461983562285,137.26457730365246,133.0671710450199
143.573521209777,137.73404871930973,131.89457622884245
144.7805951256023,137.06602548806697,129.35145585053164
144.58359708046436,135.3648436465045,126.14609021254466
142.90751688267724,132.8271282128569,122.74673954303657
139.90225076333562,129.72422925973203,119.54620775612844
135.87683244397408,126.3779830202745,116.87913359657493
131.2677308407553,123.13196321596729,114.99619559117927
126.63559938051972,120.32079063934128,114.00598189816284
122.76557432685047,118.24024247516277,113.71491062347508
120.96433428327445,117.1208314054171,113.27732852755976
122.0823303991086,117.10721459795151,112.13209879679442
125.0958465842453,118.24527191249732,111.39469724074934
129.05475994494066,120.47800758944088,111.9012552339411
133.4148602471883,123.65064151128308,113.88642277537787
137.7547872283839,127.52443524956087,117.29408327073784
141.7109030205324,131.79801785763928,121.88513269474615
144.98808700731516,136.13430643981556,127.28052587231598
147.4000360361705,140.19061676247512,132.98119748877974
148.96446440948932,143.64927421608036,138.3340840226714
150.18345631752632,146.2459907419256,142.30852516632487
152.05797742412273,147.7934728973059,143.52896837048905
154.14468995984444,148.19815222094596,142.25161448204747
155.2806968493626,147.4685434249762,139.65639000058977
155.00020229220343,145.71448380105656,136.4287653099097
153.24397867467368,143.13732178223626,133.03066488979883
150.17206312494991,140.01193108709475,129.8517990492396
146.10129286063778,136.6621570691049,127.22302127757202
141.47476631158332,133.43188857569947,125.38901083981564
136.8613501625982,130.65433938171788,124.44732860083757
133.0667562797099,128.62228319529356,124.17781011087723
