support,resistance
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
105.48528973597423,108.76572870814134
105.35455449711873,108.6426693151496
104.99613331709894,108.26415424635832
104.45423797197951,107.69469606786855
103.76663779870992,107.02741057227911
103.06061318592951,106.33590786742543
102.43098200940356,105.74322045382517
102.01535087802485,105.32463051632527
101.90645925660854,105.17147645630222
102.1639859216411,105.35682391936476
102.74616634399676,105.98614520029493
103.69944091712054,106.99783391906578
105.00121413283641,108.3204131352994
106.57237842993837,109.87014157860129
108.2982527721847,111.54900155100448
110.03456839896052,113.26358031500536
111.66103818764019,114.89853069142542
113.08968302693143,116.3593601306946
114.29721107031293,117.57000031802899
115.19492692914805,118.49623152556184
115.7610156295969,119.05680027398147
115.97655517589826,119.23030366756598
115.8387260537211,119.05576558295421
115.37184795637337,118.62039443562618
114.68531988726279,117.99056009163358
113.92096168322644,117.24475112428712
113.20152903795153,116.49952286227172
112.63807685790252,115.8745407167734
112.28618916797922,115.51073319157884
112.21307448239781,115.48306661197938
112.4897914934254,115.7960461414421
113.13296008084014,116.4384854458514
114.10446420380686,117.38847120867052
115.33337840244192,118.60950836671032
116.78486997883208,120.02422932037881
118.39145629210806,121.63045737917238
120.07205648721455,123.32931082821996
121.71145976981019,125.01865728958238
123.23150856387835,126.55334759289774
124.53297461259878,127.82696093235364
125.53022603154335,128.7609157102544
126.13330667266112,129.34283959048057
126.30465839074171,129.58363235409425
126.13219687879015,129.44901840587096
125.68534052391294,128.99791301162017
125.05610374914488,128.32612527277806
124.32304099775938,127.57988201018676
123.61786680358311,126.86281318210662
123.02767603836041,126.30743659280331
122.65512601039703,125.9500025048885
122.56435786720805,125.86329944126854
122.82025525538073,126.12884972272579
123.4777467261692,126.75897692900068
124.52914660401476,127.75292386050552
125.88889658382824,129.1094032659287
127.4696659224108,130.7577583580434
129.21644482829126,132.54053935472976
131.0136930507936,134.33022444409997
132.73711457487826,136.0050486727801
134.2578843094037,137.4720686952658
135.44786347633212,138.68508794243255
136.27656240894459,139.56375924051807
136.75506957168733,140.05710042578988
136.89863428953115,140.17970291899607
136.72570349503889,140.01027850792929
136.33473861820534,139.5942620800032
135.76225111438174,139.00175324359623
