macd,signal,histogram
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
1.7591434070418899,-1.2409759465301786,3.0001193535720683
3.2929816224047244,-0.6364482706721916,3.929429893076916
4.600845712248784,0.06185759371727177,4.538988118531512
5.596008025136129,0.7997443179064527,4.796263707229676
6.209759547912327,1.5210796819072359,4.688679866005091
6.365873376349342,2.1670521744995166,4.1988212018498245
6.0459678000299135,2.6842409245702363,3.361726875459677
5.272769895970754,3.0293781207569723,2.2433917752137815
4.109281093510148,3.1733651837907293,0.935915909719419
2.6543576785145717,3.1041641830872417,-0.44980650457267
1.0348867538932751,2.8282605258613795,-1.7933737719681044
-0.6049205738537751,2.370503045899359,-2.975423619753134
-2.1162844184342617,1.772264717321543,-3.8885491357558046
-3.359961411759059,1.087967900110796,-4.447929311869855
-4.196998051849064,0.38330577318281467,-4.580303825031879
-4.52126159478955,-0.27063654254683395,-4.250625052242716
-4.328914527101105,-0.8117402738207368,-3.5171742532803685
-3.6742180742839423,-1.193403980549164,-2.4808140937347782
-2.633420546337348,-1.385406189320922,-1.248014357016426
-1.3027999913917654,-1.3743920295970344,0.07159203820526905
0.22760958280167642,-1.1607918146105398,1.3884013974122162
1.8394270089917626,-0.7607626381302329,2.6001896471219954
3.3924248148803713,-0.20700431106215242,3.5994291259425237
4.7490925124650545,0.45380859874147517,4.295283913723579
5.78670494159519,1.1648614444553038,4.621843497139886
6.408606696123115,1.864027478011012,4.544579218112103
6.553631513389405,2.4893080160614645,4.0643234973279405
6.202675040971087,2.9844236193827474,3.2182514215883398
5.381641817007562,3.3040527123993892,2.077589104608173
4.14354572580973,3.4159851141874347,0.7275606116222955
2.6033960323181304,3.3076399032715273,-0.7042438709533969
0.9338664325186983,2.991136773837817,-2.0572703413191187
-0.6904635913285802,2.5002567251489642,-3.1907203164775444
-2.129155149348918,1.8830018085492466,-4.012156957898164
-3.2745162181650187,1.195332738320678,-4.469848956485697
-4.054171154765825,0.4953988859091442,-4.549570040674969
-4.3960635313792125,-0.15679610306263664,-4.239267428316576
-4.263487049528919,-0.7043548959248077,-3.5591321536041116
-3.6623159453347256,-1.0987497025127968,-2.5635662428219286
-2.639479930868916,-1.304180399626946,-1.3352995312419698
-1.2800325207151673,-1.300960682438709,0.020928161723541727
0.2993004318927035,-1.0875925338611874,1.3868929657538909
1.9597118214668399,-0.6812852864841171,2.640997107950957
3.5523354052630367,-0.11680252758449663,3.6691379328475335
4.931627153842413,0.5563214299390913,4.375305723903322
5.957013993358203,1.2764137717283062,4.680600221629897
6.491461459134854,1.9717534633825125,4.519707995752341
6.475220207807155,2.572215695972465,3.90300451183469
5.975253666440267,3.025954092034839,2.949299574405428
5.062018890102024,3.2974293984437972,1.764589491658227
3.8316102034964388,3.36865350578415,0.462956697712289
2.382645343415845,3.2371857508017094,-0.8545404073858642
0.7973958714812,2.911880433558975,-2.114484562077775
-0.7866466352322732,2.4187434910534753,-3.2053901262857485
-2.2297166792504015,1.7989488016796253,-4.028665480930027
-3.401846510171225,1.1055094267661787,-4.507355936937404
-4.194609340665892,0.3988269244419027,-4.593436265107794
-4.53144277236683,-0.2585423684659284,-4.272900403900902
-4.375515049665921,-0.807472059292594,-3.568042990373327
-3.7342578637759516,-1.1977101665570418,-2.53654769721891
-2.652676032108417,-1.3917056152972251,-1.2609704168111917
